Station_Code,X,Y,Z,sX,sY,sZ
UNBJ,1761288.03722256,-4078238.50367434,4561417.75156446,0.00054144,0.00060827,0.00053357
UNSA,2412830.44101069,-5271936.75075397,-2652208.97948419,0.00057785,0.00064638,0.00068083
USN3,1112162.05929096,-4842853.5337071,3985496.02239609,0.00054357,0.00062323,0.00051218
USNO,1112189.69529347,-4842955.02919532,3985352.27492689,0.00054359,0.00062306,0.00051211
UZHL,3907587.36911593,1602428.77415783,4763783.79542192,0.00059574,0.0005839,0.00056196
VACS,3215947.02580959,5047449.63736282,-2198718.26065654,0.00061785,0.00069973,0.00068113
VESL,2009329.83737545,-99741.4794879678,-6033158.41489254,0.00054697,0.00049182,0.00087252
VNDP,-2678090.29765178,-4525437.20156608,3597431.80526781,0.00061664,0.00059625,0.00050337
WES2,1492233.16859718,-4458089.49330104,4296046.05751946,0.00054651,0.00064052,0.00054501
WHIT,-2218338.03008304,-2201205.12328818,5543057.51142087,0.00059091,0.00050659,0.00054447
WILL,-2084258.23136315,-3313872.99508775,5019853.01246598,0.00058925,0.00054346,0.00053014
WIND,5633708.78318514,1732017.81726522,-2433985.68002675,0.00064028,0.0005539,0.00068609
WSRT,3828735.79319789,443305.036135149,5064884.77268325,0.00057206,0.0005655,0.00054624
WTZR,4075580.46294115,931853.881445233,4801568.17343832,0.00058225,0.00057364,0.00054387
WUHN,-2267749.59927709,5009154.22976327,3221290.65257571,0.00065112,0.00066146,0.00054111
XMIS,-1696344.33649469,6039590.019921,-1149275.62517349,0.00063605,0.0007146,0.00062465
YAKT,-1914999.05504484,2308241.48567483,5610225.53769957,0.00060443,0.00051935,0.00055399
YAR1,-2389026.14322003,5043316.96649451,-3078530.06316088,0.00063828,0.00066925,0.00071159
YAR2,-2389026.14549295,5043316.96852463,-3078530.06125924,0.00063981,0.00067265,0.00071339
YEBE,4848724.6565793,-261632.113935485,4123094.21315939,0.00059871,0.00057837,0.00053645
YELL,-1224452.76828867,-2689216.16506672,5633638.28187182,0.00056234,0.0005248,0.00054654
YIBL,3294552.57276315,4905092.48638712,2393579.84093439,0.00062629,0.00070635,0.00054928
YSSK,-3465321.02187746,2638269.34066027,4644085.37696055,0.00066614,0.00053658,0.00054687
ZAMB,5415352.9992931,2917209.99671289,-1685888.78089624,0.0006343,0.00058788,0.00065039
ZECK,3451174.5925119,3060335.50733782,4391955.69459538,0.00058837,0.00060738,0.00054015
ZIM2,4331299.80372446,567537.411050928,4633133.77012369,0.00059447,0.00057548,0.00055027
ZIMM,4331296.99513392,567555.96733869,4633133.99315892,0.00058625,0.00057418,0.00054093
